title
An Empirical Study On Api Usages
Analyzing Temporal Api Usage Patterns
Api Usage Pattern Recommendation For Software Development
Automated Api Property Inference Techniques
Mapo: Mining And Recommending Api Usage Patterns
Mining Api Patterns As Partial Orders From Source Code: From Usage Scenarios To Specifications
Mining Multi-Level Api Usage Patterns
Mining Succinct And High-Coverage Api Usage Patterns From Source Code
