min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,1379,4,29,40
0.1,1,5,1,2000,2,8,39
0.1,1,5,2,2000,1,1,39
0.1,1,5,3,2000,0,0,0
0.1,1,6,0,519,4,26,40
0.1,1,6,1,1012,4,26,40
0.1,1,6,2,2000,2,8,39
0.1,1,6,3,2000,2,8,39
0.1,1,7,0,227,3,18,40
0.1,1,7,1,379,3,18,40
0.1,1,7,2,1540,3,20,40
0.1,1,7,3,2000,3,18,40
0.1,1,8,0,227,3,18,40
0.1,1,8,1,379,3,18,40
0.1,1,8,2,1540,3,20,40
0.1,1,8,3,2000,3,18,40
0.1,1,9,0,129,3,13,39
0.1,1,9,1,129,3,13,39
0.1,1,9,2,166,3,14,39
0.1,1,9,3,170,3,14,39
0.1,1,10,0,94,2,10,39
0.1,1,10,1,99,3,11,39
0.1,1,10,2,116,3,12,39
0.1,1,10,3,138,3,12,39
0.1,2,5,0,1379,4,29,40
0.1,2,5,1,2000,2,8,39
0.1,2,5,2,2000,1,1,39
0.1,2,5,3,2000,0,0,0
0.1,2,6,0,673,3,20,40
0.1,2,6,1,2000,3,13,40
0.1,2,6,2,2000,0,0,0
0.1,2,6,3,2000,0,0,0
0.1,2,7,0,328,3,15,39
0.1,2,7,1,777,3,15,39
0.1,2,7,2,2000,3,8,39
0.1,2,7,3,2000,1,5,39
0.1,2,8,0,326,3,15,39
0.1,2,8,1,481,3,15,39
0.1,2,8,2,1902,3,16,39
0.1,2,8,3,2000,3,7,39
0.1,2,9,0,130,3,13,39
0.1,2,9,1,130,3,13,39
0.1,2,9,2,167,3,14,39
0.1,2,9,3,171,3,14,39
0.1,2,10,0,64,1,7,39
0.1,2,10,1,97,2,8,39
0.1,2,10,2,130,2,9,39
0.1,2,10,3,148,2,10,39
0.1,3,5,0,2000,4,20,41
0.1,3,5,1,2000,1,1,39
0.1,3,5,2,2000,1,1,39
0.1,3,5,3,2000,0,0,0
0.1,3,6,0,2000,4,20,41
0.1,3,6,1,2000,2,8,39
0.1,3,6,2,2000,1,1,39
0.1,3,6,3,2000,0,0,0
0.1,3,7,0,1618,5,35,40
0.1,3,7,1,2000,4,22,40
0.1,3,7,2,2000,3,10,39
0.1,3,7,3,2000,2,8,39
0.1,3,8,0,474,4,16,39
0.1,3,8,1,752,4,24,40
0.1,3,8,2,1431,4,26,40
0.1,3,8,3,2000,4,26,40
0.1,3,9,0,103,2,8,39
0.1,3,9,1,349,3,14,39
0.1,3,9,2,870,3,16,39
0.1,3,9,3,1464,3,18,39
0.1,3,10,0,92,2,8,39
0.1,3,10,1,104,2,8,39
0.1,3,10,2,157,2,9,39
0.1,3,10,3,188,2,9,39
0.1,4,5,0,2000,4,20,41
0.1,4,5,1,2000,1,1,39
0.1,4,5,2,2000,1,1,39
0.1,4,5,3,2000,0,0,0
0.1,4,6,0,2000,4,20,41
0.1,4,6,1,2000,2,8,39
0.1,4,6,2,2000,1,1,39
0.1,4,6,3,2000,0,0,0
0.1,4,7,0,1618,5,35,40
0.1,4,7,1,2000,4,22,40
0.1,4,7,2,2000,3,10,39
0.1,4,7,3,2000,2,8,39
0.1,4,8,0,474,4,16,39
0.1,4,8,1,752,4,24,40
0.1,4,8,2,1431,4,26,40
0.1,4,8,3,2000,4,26,40
0.1,4,9,0,103,2,8,39
0.1,4,9,1,349,3,14,39
0.1,4,9,2,870,3,16,39
0.1,4,9,3,1464,3,18,39
0.1,4,10,0,92,2,8,39
0.1,4,10,1,104,2,8,39
0.1,4,10,2,157,2,9,39
0.1,4,10,3,188,2,9,39
0.1,5,5,0,2000,1,2,39
0.1,5,5,1,2000,1,2,39
0.1,5,5,2,2000,1,1,39
0.1,5,5,3,2000,1,1,39
0.1,5,6,0,2000,4,14,40
0.1,5,6,1,-1,4,14,40
0.1,5,6,2,2000,1,2,39
0.1,5,6,3,2000,1,2,39
0.1,5,7,0,569,5,23,40
0.1,5,7,1,1286,5,23,40
0.1,5,7,2,2000,4,16,40
0.1,5,7,3,2000,3,11,40
0.1,5,8,0,288,3,13,39
0.1,5,8,1,590,3,13,39
0.1,5,8,2,1324,4,14,39
0.1,5,8,3,2000,4,12,39
0.1,5,9,0,118,3,10,39
0.1,5,9,1,209,3,10,39
0.1,5,9,2,382,3,11,39
0.1,5,9,3,1027,3,11,39
0.1,5,10,0,47,3,7,39
0.1,5,10,1,133,3,7,39
0.1,5,10,2,214,3,7,39
0.1,5,10,3,636,3,7,39
0.2,1,5,0,1379,4,29,40
0.2,1,5,1,2000,2,8,39
0.2,1,5,2,2000,1,1,39
0.2,1,5,3,2000,0,0,0
0.2,1,6,0,519,4,26,40
0.2,1,6,1,1012,4,26,40
0.2,1,6,2,2000,2,8,39
0.2,1,6,3,2000,2,8,39
0.2,1,7,0,227,3,18,40
0.2,1,7,1,379,3,18,40
0.2,1,7,2,1540,3,20,40
0.2,1,7,3,2000,3,18,40
0.2,1,8,0,227,3,18,40
0.2,1,8,1,379,3,18,40
0.2,1,8,2,1540,3,20,40
0.2,1,8,3,2000,3,18,40
0.2,1,9,0,129,3,13,39
0.2,1,9,1,129,3,13,39
0.2,1,9,2,166,3,14,39
0.2,1,9,3,170,3,14,39
0.2,1,10,0,94,2,10,39
0.2,1,10,1,99,3,11,39
0.2,1,10,2,116,3,12,39
0.2,1,10,3,138,3,12,39
0.2,2,5,0,2000,3,11,40
0.2,2,5,1,2000,1,1,39
0.2,2,5,2,2000,1,1,39
0.2,2,5,3,2000,0,0,0
0.2,2,6,0,2000,4,13,40
0.2,2,6,1,2000,1,4,39
0.2,2,6,2,2000,1,4,39
0.2,2,6,3,2000,1,2,39
0.2,2,7,0,2000,4,20,40
0.2,2,7,1,2000,3,10,40
0.2,2,7,2,2000,2,7,39
0.2,2,7,3,2000,1,2,39
0.2,2,8,0,1020,4,25,40
0.2,2,8,1,1807,4,26,40
0.2,2,8,2,2000,4,16,40
0.2,2,8,3,2000,2,8,39
0.2,2,9,0,369,3,13,39
0.2,2,9,1,515,3,13,39
0.2,2,9,2,954,3,14,39
0.2,2,9,3,1810,4,16,39
0.2,2,10,0,79,3,11,39
0.2,2,10,1,93,3,11,39
0.2,2,10,2,269,3,12,39
0.2,2,10,3,455,3,12,39
0.2,3,5,0,2000,3,11,40
0.2,3,5,1,2000,1,1,39
0.2,3,5,2,2000,1,1,39
0.2,3,5,3,2000,0,0,0
0.2,3,6,0,2000,4,17,40
0.2,3,6,1,2000,1,2,39
0.2,3,6,2,2000,1,1,39
0.2,3,6,3,2000,1,1,39
0.2,3,7,0,2000,4,20,40
0.2,3,7,1,2000,3,9,39
0.2,3,7,2,2000,2,7,39
0.2,3,7,3,2000,1,2,39
0.2,3,8,0,1020,4,25,40
0.2,3,8,1,1831,4,26,40
0.2,3,8,2,2000,4,14,40
0.2,3,8,3,2000,2,7,39
0.2,3,9,0,369,3,13,39
0.2,3,9,1,532,3,13,39
0.2,3,9,2,1293,3,14,39
0.2,3,9,3,2000,3,10,39
0.2,3,10,0,79,3,11,39
0.2,3,10,1,101,3,11,39
0.2,3,10,2,492,3,12,39
0.2,3,10,3,1416,4,13,39
0.2,4,5,0,2000,2,9,39
0.2,4,5,1,2000,1,4,39
0.2,4,5,2,2000,1,2,39
0.2,4,5,3,2000,1,2,39
0.2,4,6,0,2000,4,19,40
0.2,4,6,1,2000,2,9,39
0.2,4,6,2,2000,1,4,39
0.2,4,6,3,2000,1,2,39
0.2,4,7,0,842,4,25,40
0.2,4,7,1,1253,3,24,40
0.2,4,7,2,1932,4,25,40
0.2,4,7,3,2000,4,13,40
0.2,4,8,0,389,4,15,39
0.2,4,8,1,-1,4,15,39
0.2,4,8,2,1012,4,15,39
0.2,4,8,3,2000,4,16,39
0.2,4,9,0,388,4,15,39
0.2,4,9,1,600,4,15,39
0.2,4,9,2,-1,4,15,39
0.2,4,9,3,-1,4,15,39
0.2,4,10,0,93,4,14,39
0.2,4,10,1,-1,4,14,39
0.2,4,10,2,359,4,15,39
0.2,4,10,3,595,4,16,39
0.2,5,5,0,2000,4,13,40
0.2,5,5,1,2000,1,4,39
0.2,5,5,2,2000,1,2,39
0.2,5,5,3,-1,1,2,39
0.2,5,6,0,2000,4,18,39
0.2,5,6,1,-1,4,18,39
0.2,5,6,2,-1,4,18,39
0.2,5,6,3,2000,1,2,39
0.2,5,7,0,-1,1,2,39
0.2,5,7,1,-1,1,2,39
0.2,5,7,2,-1,1,2,39
0.2,5,7,3,2000,4,10,39
0.2,5,8,0,462,4,15,39
0.2,5,8,1,784,4,15,39
0.2,5,8,2,1476,4,15,39
0.2,5,8,3,2000,4,13,39
0.2,5,9,0,376,4,14,39
0.2,5,9,1,581,4,14,39
0.2,5,9,2,933,4,14,39
0.2,5,9,3,1852,4,15,39
0.2,5,10,0,85,4,14,39
