title
A pilot study using machine learning and domain knowledge to facilitate comparative effectiveness review updating
A comparison of automated training-by-example selection algorithms for Evidence Based Software Engineering
A method to support search string building in systematic literature reviews through visual text mining
A new algorithm for reducing the workload of experts in performing systematic reviews
A new iterative method to reduce workload in systematic review process
A text-mining framework for supporting systematic reviews
A prospective evaluation of an automated classification system to support evidence-based medicine and systematic review
A visual analysis approach to update systematic reviews
A visual analysis approach to validate the selection review of primary studies in systematic reviews
A visual text mining approach for systematic reviews
An approach based on visual text mining to support categorization and classification in the systematic mapping
An extension of the systematic literature review process with visual text mining: a case study on software engineering
An svm-based high-quality article classifier for systematic reviews
Active learning for biomedical citation screening
Automatic text classification to support systematic reviews in medicine
Automatically locating results to support systematic reviews in software engineering
Building systematic reviews using automatic text classification techniques
Classifying biomedical abstracts using committees of classifiers and collective ranking techniques
Cross-topic learning for work prioritization in systematic review creation and update
DASyR(IR) – document analysis system for systematic reviews (in information retrieval)
Deploying an interactive machine learning system in an evidence-based practice center: abstrackr
Exploiting the systematic review protocol for classification of medical abstracts
Facilitating biomedical systematic reviews using ranked text retrieval and classification
Feature engineering and a proposed decision-support system for systematic reviewers of medical evidence
Finding better active learners for faster literature reviews
Improving the performance of text categorization models used for the selection of high quality articles
Linked data approach for selection process automation in systematic reviews
Machine learning techniques for the automation of literature reviews and systematic reviews in EFSA
Machine learning to assist risk-of-bias assessments in systematic reviews
Modeling annotation time to reduce workload in comparative effectiveness reviews
Optimizing feature representation for automated systematic review work prioritization
Pinpointing needles in giant haystacks: use of text mining to reduce impractical screening workload in extremely large scoping reviews
Reducing systematic review workload through certainty-based screening
Reducing workload in systematic review preparation using automated citation classification
Screening nonrandomized studies for medical systematic reviews: a comparative study of classifiers
Semi-automated screening of biomedical citations for systematic reviews
Studying the potential impact of automated document classification on scheduling a systematic review update
Supporting study selection of systematic literature reviews in software engineering with text mining
Supporting systematic reviews using text mining
Text categorization models for high-quality article retrieval in internal medicine
The use of visual text mining to support the study selection activity in systematic literature reviews: a replication study
Toward modernizing the systematic review pipeline in genetics: efficient updating via data mining
Towards automating the initial screening phase of a systematic review
Using classifier performance visualization to improve collective ranking techniques for biomedical abstracts classification
Using visual text mining to support the study selection activity in systematic literature reviews
Clustering of medical publications for evidence based medicine summarisation
Combining relevancy and methodological quality into a single ranking for evidence-based medicine
GAPscreener: an automatic tool for screening human genetic association literature in PubMed using the support vector machine technique
Parameterized contrast in second order soft co-occurrences: a novel text representation technique in text mining and knowledge extraction
Text classification on imbalanced data: application to systematic reviews automation
Using information visualization and text mining to facilitate the conduction of systematic literature reviews
Using the scas strategy to perform the initial selection of studies in systematic reviews: an experimental study
