min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,434,8,20,131
0.1,1,5,1,3000,14,34,131
0.1,1,5,2,3000,5,11,132
0.1,1,5,3,3000,0,0,0
0.1,1,6,0,161,7,19,131
0.1,1,6,1,1884,14,32,131
0.1,1,6,2,3000,8,17,132
0.1,1,6,3,3000,1,4,132
0.1,1,7,0,72,4,13,131
0.1,1,7,1,1100,12,28,131
0.1,1,7,2,3000,9,20,133
0.1,1,7,3,3000,1,4,132
0.1,1,8,0,68,3,12,131
0.1,1,8,1,950,11,27,131
0.1,1,8,2,3000,8,18,133
0.1,1,8,3,3000,1,4,132
0.1,1,9,0,45,3,10,131
0.1,1,9,1,845,11,25,131
0.1,1,9,2,3000,8,17,133
0.1,1,9,3,3000,2,6,132
0.1,1,10,0,29,3,10,131
0.1,1,10,1,424,10,22,131
0.1,1,10,2,3000,7,18,132
0.1,1,10,3,3000,7,15,131
0.1,2,5,0,1452,27,72,132
0.1,2,5,1,3000,20,56,133
0.1,2,5,2,3000,3,7,132
0.1,2,5,3,3000,0,0,0
0.1,2,6,0,400,21,52,131
0.1,2,6,1,3000,18,53,131
0.1,2,6,2,3000,3,7,132
0.1,2,6,3,3000,0,0,0
0.1,2,7,0,198,15,36,131
0.1,2,7,1,3000,19,54,131
0.1,2,7,2,3000,5,9,132
0.1,2,7,3,3000,1,1,131
0.1,2,8,0,120,12,30,131
0.1,2,8,1,2517,18,52,131
0.1,2,8,2,3000,9,18,131
0.1,2,8,3,3000,1,1,131
0.1,2,9,0,60,11,21,131
0.1,2,9,1,1262,17,44,131
0.1,2,9,2,3000,13,30,132
0.1,2,9,3,3000,2,4,131
0.1,2,10,0,48,8,18,131
0.1,2,10,1,698,15,42,131
0.1,2,10,2,3000,11,30,132
0.1,2,10,3,3000,9,25,131
0.1,3,5,0,1766,28,80,132
0.1,3,5,1,3000,20,59,133
0.1,3,5,2,3000,4,9,132
0.1,3,5,3,3000,0,0,0
0.1,3,6,0,574,22,59,132
0.1,3,6,1,3000,26,75,132
0.1,3,6,2,3000,4,9,132
0.1,3,6,3,3000,0,0,0
0.1,3,7,0,256,20,45,131
0.1,3,7,1,2722,23,58,131
0.1,3,7,2,3000,11,22,131
0.1,3,7,3,3000,1,1,131
0.1,3,8,0,113,16,35,131
0.1,3,8,1,1311,17,43,131
0.1,3,8,2,3000,7,19,132
0.1,3,8,3,3000,1,2,131
0.1,3,9,0,78,13,27,131
0.1,3,9,1,1085,14,36,131
0.1,3,9,2,3000,7,17,132
0.1,3,9,3,3000,6,14,131
0.1,3,10,0,50,11,21,131
