min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,5,7,3,775,5,9
0.1,5,8,0,145,3,5
0.1,5,8,1,175,3,5
0.1,5,8,2,346,4,6
0.1,5,8,3,386,5,8
0.1,5,9,0,27,3,3
0.1,5,9,1,31,3,3
0.1,5,9,2,78,3,3
0.1,5,9,3,79,3,3
0.1,5,10,0,3,3,3
0.1,5,10,1,3,3,3
0.1,5,10,2,4,3,3
0.1,5,10,3,4,3,3
0.2,1,2,0,5000,0,0
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,0
0.2,1,3,1,5000,0,0
0.2,1,3,2,5000,0,0
0.2,1,3,3,5000,0,0
0.2,1,4,0,2039,6,14
0.2,1,4,1,5000,6,14
0.2,1,4,2,5000,0,0
0.2,1,4,3,5000,0,0
0.2,1,5,0,707,6,14
0.2,1,5,1,1145,6,15
0.2,1,5,2,1808,6,16
0.2,1,5,3,3200,6,16
0.2,1,6,0,75,2,6
0.2,1,6,1,112,2,6
0.2,1,6,2,186,2,6
0.2,1,6,3,287,2,6
0.2,1,7,0,24,2,6
0.2,1,7,1,51,2,6
0.2,1,7,2,72,2,6
0.2,1,7,3,100,2,6
0.2,1,8,0,14,1,4
0.2,1,8,1,27,1,4
0.2,1,8,2,39,1,4
0.2,1,8,3,48,1,4
0.2,1,9,0,10,0,3
0.2,1,9,1,13,0,3
0.2,1,9,2,25,1,4
0.2,1,9,3,33,1,4
0.2,1,10,0,9,0,3
0.2,1,10,1,12,0,3
0.2,1,10,2,23,1,4
0.2,1,10,3,30,1,4
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
0.2,2,2,3,5000,0,0
0.2,2,3,0,5000,0,0
0.2,2,3,1,5000,0,0
0.2,2,3,2,5000,0,0
0.2,2,3,3,5000,0,0
0.2,2,4,0,2387,7,17
0.2,2,4,1,5000,6,13
0.2,2,4,2,5000,0,0
0.2,2,4,3,5000,0,0
0.2,2,5,0,267,5,13
0.2,2,5,1,597,5,13
0.2,2,5,2,1306,5,13
0.2,2,5,3,4113,5,13
0.2,2,6,0,125,5,12
0.2,2,6,1,163,5,12
0.2,2,6,2,236,5,12
0.2,2,6,3,337,5,12
0.2,2,7,0,45,4,10
0.2,2,7,1,70,4,11
0.2,2,7,2,107,4,11
0.2,2,7,3,170,4,11
0.2,2,8,0,34,2,6
0.2,2,8,1,52,2,7
0.2,2,8,2,64,2,7
0.2,2,8,3,104,2,7
0.2,2,9,0,17,2,6
0.2,2,9,1,33,2,7
0.2,2,9,2,44,2,7
0.2,2,9,3,62,2,7
0.2,2,10,0,16,2,6
0.2,2,10,1,25,2,7
0.2,2,10,2,30,2,7
0.2,2,10,3,38,2,7
0.2,3,2,0,5000,0,0
0.2,3,2,1,5000,0,0
0.2,3,2,2,5000,0,0
0.2,3,2,3,5000,0,0
0.2,3,3,0,5000,0,0
0.2,3,3,1,5000,0,0
0.2,3,3,2,5000,0,0
0.2,3,3,3,5000,0,0
0.2,3,4,0,4462,8,22
0.2,3,4,1,5000,8,19
0.2,3,4,2,5000,6,14
0.2,3,4,3,5000,0,0
0.2,3,5,0,2476,7,20
0.2,3,5,1,2669,7,20
0.2,3,5,2,2815,7,20
0.2,3,5,3,3428,7,20
0.2,3,6,0,2103,7,19
0.2,3,6,1,2175,7,19
0.2,3,6,2,2256,7,19
0.2,3,6,3,2730,7,19
0.2,3,7,0,316,7,15
0.2,3,7,1,497,7,16
0.2,3,7,2,924,7,17
0.2,3,7,3,1233,7,17
0.2,3,8,0,41,5,9
0.2,3,8,1,49,5,9
0.2,3,8,2,91,5,10
0.2,3,8,3,171,5,10
0.2,3,9,0,11,2,3
0.2,3,9,1,13,2,3
0.2,3,9,2,26,2,5
0.2,3,9,3,91,2,5
0.2,3,10,0,5,2,3
0.2,3,10,1,6,2,3
0.2,3,10,2,17,2,5
