min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,519,9,26,40
0.1,1,5,1,2000,7,22,40
0.1,1,5,2,2000,1,2,39
0.1,1,5,3,2000,0,1,39
0.1,1,6,0,519,9,26,40
0.1,1,6,1,2000,7,22,40
0.1,1,6,2,2000,1,2,39
0.1,1,6,3,2000,0,1,39
0.1,1,7,0,286,8,22,40
0.1,1,7,1,1248,9,24,40
0.1,1,7,2,2000,5,9,39
0.1,1,7,3,2000,0,1,39
0.1,1,8,0,149,5,14,40
0.1,1,8,1,510,7,18,40
0.1,1,8,2,1293,7,19,40
0.1,1,8,3,2000,2,3,39
0.1,1,9,0,149,5,14,40
0.1,1,9,1,510,7,18,40
0.1,1,9,2,1293,7,19,40
0.1,1,9,3,2000,2,3,39
0.1,1,10,0,85,3,8,40
0.1,1,10,1,363,4,11,40
0.1,1,10,2,987,4,12,40
0.1,1,10,3,2000,3,5,39
0.1,2,5,0,2000,5,17,40
0.1,2,5,1,2000,0,1,39
0.1,2,5,2,2000,0,1,39
0.1,2,5,3,2000,0,1,39
0.1,2,6,0,521,9,26,40
0.1,2,6,1,2000,2,4,39
0.1,2,6,2,2000,0,1,39
0.1,2,6,3,2000,0,1,39
0.1,2,7,0,296,6,14,40
0.1,2,7,1,1722,7,20,40
0.1,2,7,2,2000,2,3,39
0.1,2,7,3,2000,1,1,39
0.1,2,8,0,166,6,13,40
0.1,2,8,1,916,6,16,40
0.1,2,8,2,2000,4,9,40
0.1,2,8,3,2000,1,1,39
0.1,2,9,0,76,6,12,40
0.1,2,9,1,128,6,13,40
0.1,2,9,2,249,6,16,40
0.1,2,9,3,1675,6,16,40
0.1,2,10,0,76,6,12,40
0.1,2,10,1,99,6,13,40
0.1,2,10,2,141,6,14,40
0.1,2,10,3,464,6,14,40
0.1,3,5,0,2000,5,18,40
0.1,3,5,1,2000,0,1,39
0.1,3,5,2,2000,0,1,39
0.1,3,5,3,2000,0,0,0
0.1,3,6,0,557,9,26,40
0.1,3,6,1,2000,7,21,40
0.1,3,6,2,2000,1,2,39
0.1,3,6,3,2000,0,1,39
0.1,3,7,0,334,6,14,40
0.1,3,7,1,1692,6,16,40
0.1,3,7,2,2000,2,3,39
0.1,3,7,3,2000,1,1,39
0.1,3,8,0,170,6,13,40
0.1,3,8,1,906,6,15,40
0.1,3,8,2,2000,4,9,40
0.1,3,8,3,2000,1,1,39
0.1,3,9,0,76,6,12,40
0.1,3,9,1,99,6,13,40
0.1,3,9,2,100,6,14,40
0.1,3,9,3,114,6,14,40
0.1,3,10,0,76,6,12,40
0.1,3,10,1,99,6,13,40
0.1,3,10,2,100,6,14,40
0.1,3,10,3,114,6,14,40
0.1,4,5,0,2000,7,20,40
0.1,4,5,1,2000,1,1,39
0.1,4,5,2,2000,0,0,0
0.1,4,5,3,2000,0,0,0
0.1,4,6,0,438,9,23,40
0.1,4,6,1,1928,9,24,40
0.1,4,6,2,2000,2,3,39
0.1,4,6,3,2000,0,0,0
