min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,5,8,2,9,0,0
0.1,5,8,3,12,0,0
0.1,5,9,0,0,0,0
0.1,5,9,1,0,0,0
0.1,5,9,2,1,0,0
0.1,5,9,3,1,0,0
0.1,5,10,0,0,0,0
0.1,5,10,1,0,0,0
0.1,5,10,2,1,0,0
0.1,5,10,3,-1,0,0
0.2,1,2,0,5000,1,3
0.2,1,2,1,5000,0,2
0.2,1,2,2,5000,0,2
0.2,1,2,3,5000,0,2
0.2,1,3,0,383,3,5
0.2,1,3,1,1646,3,5
0.2,1,3,2,2021,3,5
0.2,1,3,3,5000,3,5
0.2,1,4,0,1,0,0
0.2,1,4,1,1,0,0
0.2,1,4,2,1,0,0
0.2,1,4,3,1,0,0
0.2,1,5,0,1,0,0
0.2,1,5,1,1,0,0
0.2,1,5,2,1,0,0
0.2,1,5,3,1,0,0
0.2,1,6,0,0,0,0
0.2,1,6,1,0,0,0
0.2,1,6,2,0,0,0
0.2,1,6,3,0,0,0
0.2,1,7,0,0,0,0
0.2,1,7,1,0,0,0
0.2,1,7,2,0,0,0
0.2,1,7,3,0,0,0
0.2,1,8,0,0,0,0
0.2,1,8,1,0,0,0
0.2,1,8,2,0,0,0
0.2,1,8,3,0,0,0
0.2,1,9,0,0,0,0
0.2,1,9,1,0,0,0
0.2,1,9,2,0,0,0
0.2,1,9,3,0,0,0
0.2,1,10,0,0,0,0
0.2,1,10,1,0,0,0
0.2,1,10,2,0,0,0
0.2,1,10,3,0,0,0
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
0.2,2,2,3,5000,0,0
0.2,2,3,0,3633,5,9
0.2,2,3,1,3633,5,9
0.2,2,3,2,3633,5,9
0.2,2,3,3,3633,5,9
0.2,2,4,0,33,5,5
0.2,2,4,1,33,5,5
0.2,2,4,2,33,5,5
0.2,2,4,3,33,5,5
0.2,2,5,0,4,2,2
0.2,2,5,1,4,2,2
0.2,2,5,2,4,2,2
0.2,2,5,3,4,2,2
