title
Cloud WorkBench: Benchmarking IaaS Providers based on Infrastructure-as-Code
Co-evolution of infrastructure and source code: an empirical study
DevOps: Introducing Infrastructure-as-Code
Testing Idempotence for Infrastructure as Code
Asserting reliable convergence for configuration management scripts
Does your configuration code smell?
Modularization of Software as a Service Products: A Case Study of the Configuration Management Tool Puppet
Automated testing of chef automation scripts
Modern Release Engineering in a Nutshell - Why Researchers Should Care
Don't Install Software by Hand
Cloud Work Bench - Infrastructure-as-Code Based Cloud Benchmarking
