min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,5,7,2,1146,6,58
0.1,5,7,3,1432,7,75
0.1,5,8,0,536,3,32
0.1,5,8,1,537,3,32
0.1,5,8,2,680,4,42
0.1,5,8,3,855,4,53
0.1,5,9,0,122,3,14
0.1,5,9,1,123,3,14
0.1,5,9,2,149,4,16
0.1,5,9,3,195,4,19
0.1,5,10,0,40,3,6
0.1,5,10,1,49,3,7
0.1,5,10,2,147,4,16
0.1,5,10,3,190,4,19
0.2,1,2,0,5000,0,1
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,118
0.2,1,3,1,5000,0,117
0.2,1,3,2,5000,0,117
0.2,1,3,3,5000,0,114
0.2,1,4,0,5000,0,118
0.2,1,4,1,5000,0,117
0.2,1,4,2,5000,0,117
0.2,1,4,3,5000,0,114
0.2,1,5,0,3529,4,109
0.2,1,5,1,3673,4,111
0.2,1,5,2,4033,4,120
0.2,1,5,3,4781,4,152
0.2,1,6,0,1888,2,82
0.2,1,6,1,2477,3,87
0.2,1,6,2,3113,4,106
0.2,1,6,3,4518,4,150
0.2,1,7,0,243,0,14
0.2,1,7,1,312,1,16
0.2,1,7,2,372,1,18
0.2,1,7,3,531,1,25
0.2,1,8,0,163,0,8
0.2,1,8,1,210,1,11
0.2,1,8,2,245,1,13
0.2,1,8,3,338,1,16
0.2,1,9,0,89,0,7
0.2,1,9,1,115,0,8
0.2,1,9,2,172,0,11
0.2,1,9,3,242,1,13
0.2,1,10,0,29,0,5
0.2,1,10,1,44,0,6
0.2,1,10,2,172,0,11
0.2,1,10,3,242,1,13
0.2,2,2,0,5000,0,2
0.2,2,2,1,5000,0,1
0.2,2,2,2,5000,0,1
0.2,2,2,3,5000,0,1
0.2,2,3,0,5000,0,17
0.2,2,3,1,5000,0,8
0.2,2,3,2,5000,0,2
0.2,2,3,3,5000,0,2
0.2,2,4,0,5000,0,80
0.2,2,4,1,5000,0,56
0.2,2,4,2,5000,0,39
0.2,2,4,3,5000,0,25
0.2,2,5,0,5000,0,75
0.2,2,5,1,5000,0,61
0.2,2,5,2,5000,0,46
0.2,2,5,3,5000,0,47
0.2,2,6,0,2433,5,55
0.2,2,6,1,3126,5,58
0.2,2,6,2,4230,5,62
0.2,2,6,3,5000,3,80
0.2,2,7,0,2433,5,55
0.2,2,7,1,2672,5,58
0.2,2,7,2,3574,5,62
0.2,2,7,3,4804,6,90
0.2,2,8,0,530,3,23
0.2,2,8,1,627,3,27
0.2,2,8,2,1493,4,56
0.2,2,8,3,2624,5,84
0.2,2,9,0,245,3,14
0.2,2,9,1,296,3,16
0.2,2,9,2,854,4,43
0.2,2,9,3,1257,4,57
0.2,2,10,0,42,0,3
0.2,2,10,1,62,0,3
0.2,2,10,2,358,2,30
0.2,2,10,3,521,2,36
0.2,3,2,0,5000,0,0
0.2,3,2,1,5000,0,0
0.2,3,2,2,5000,0,0
0.2,3,2,3,5000,0,0
0.2,3,3,0,5000,0,14
0.2,3,3,1,5000,0,6
0.2,3,3,2,5000,0,2
0.2,3,3,3,5000,0,2
0.2,3,4,0,5000,1,134
0.2,3,4,1,5000,0,120
0.2,3,4,2,5000,0,118
0.2,3,4,3,5000,0,87
0.2,3,5,0,3929,10,138
0.2,3,5,1,4833,10,145
0.2,3,5,2,5000,2,149
0.2,3,5,3,5000,0,140
0.2,3,6,0,1355,7,57
0.2,3,6,1,1362,7,57
0.2,3,6,2,1408,7,60
0.2,3,6,3,1628,7,3
0.2,3,7,0,1070,6,54
0.2,3,7,1,1077,6,54
0.2,3,7,2,1118,6,57
0.2,3,7,3,1337,6,73
0.2,3,8,0,267,4,24
0.2,3,8,1,332,4,26
0.2,3,8,2,1002,5,56
0.2,3,8,3,1229,5,72
0.2,3,9,0,136,3,13
0.2,3,9,1,177,3,14
0.2,3,9,2,687,5,43
0.2,3,9,3,869,5,54
0.2,3,10,0,28,1,4
0.2,3,10,1,35,1,5
0.2,3,10,2,103,2,10
0.2,3,10,3,292,2,24
0.2,4,2,0,5000,0,0
0.2,4,2,1,5000,0,0
0.2,4,2,2,5000,0,0
0.2,4,2,3,5000,0,0
0.2,4,3,0,5000,0,21
0.2,4,3,1,5000,0,6
0.2,4,3,2,5000,0,1
0.2,4,3,3,5000,0,1
0.2,4,4,0,5000,0,58
0.2,4,4,1,5000,0,49
0.2,4,4,2,5000,0,39
0.2,4,4,3,5000,0,12
0.2,4,5,0,5000,1,101
0.2,4,5,1,5000,0,86
0.2,4,5,2,5000,0,71
0.2,4,5,3,5000,0,41
0.2,4,6,0,3777,7,111
0.2,4,6,1,4304,8,118
0.2,4,6,2,4868,8,123
0.2,4,6,3,5000,1,101
0.2,4,7,0,1069,5,53
0.2,4,7,1,1135,5,53
0.2,4,7,2,1232,5,59
0.2,4,7,3,2984,6,85
0.2,4,8,0,306,3,23
0.2,4,8,1,393,3,25
0.2,4,8,2,1110,4,56
0.2,4,8,3,2143,5,75
0.2,4,9,0,77,0,5
0.2,4,9,1,135,0,9
0.2,4,9,2,550,2,39
0.2,4,9,3,950,3,55
0.2,4,10,0,69,0,4
0.2,4,10,1,125,0,8
0.2,4,10,2,535,2,38
0.2,4,10,3,879,3,54
0.2,5,2,0,5000,0,0
0.2,5,2,1,5000,0,0
0.2,5,2,2,5000,0,0
0.2,5,2,3,5000,0,0
0.2,5,3,0,5000,0,2
0.2,5,3,1,5000,0,2
