title
Towards a better understanding of context and context-awareness
Tag-based user modeling for social multi-device adaptive guides
Consistent modelling of users, devices and sensors in a ubiquitous computing environment
Exploring issues of user model transparency and proactive behaviour in an office environment control system
A conceptual framework and a toolkit for supporting the rapid prototyping of context-aware applications
Toward an OSGi-based infrastructure for context-aware applications
Ontology-Based user modeling in an augmented audio reality system for museums
An infrastructure approach to context-aware computing
Assessment of user affective and belief states for interface adaptation: application to an air force pilot task
An adaptive middleware framework for context-aware applications
Managing context information in mobile devices
User-centred design of flexible hypermedia for a mobile guide: reflections on the HyperAudio experience
ContextPhone: a prototyping platform for context-aware mobile applications
COSAR: hybrid reasoning for context-aware activity recognition
A middleware infrastructure for active spaces
Advanced interaction in context
Adaptive, intelligent presentation of information for the museum visitor in PEACH
