min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,191,7,36,131
0.1,1,5,1,3000,1,4,131
0.1,1,5,2,3000,0,0,0
0.1,1,5,3,3000,0,0,0
0.1,1,6,0,90,7,32,131
0.1,1,6,1,3000,2,12,131
0.1,1,6,2,3000,1,8,131
0.1,1,6,3,3000,0,2,132
0.1,1,7,0,80,7,30,131
0.1,1,7,1,82,7,30,131
0.1,1,7,2,85,7,30,131
0.1,1,7,3,140,7,34,131
0.1,1,8,0,68,7,26,131
0.1,1,8,1,69,7,26,131
0.1,1,8,2,72,7,27,131
0.1,1,8,3,104,7,30,131
0.1,1,9,0,57,6,24,131
0.1,1,9,1,59,6,24,131
0.1,1,9,2,63,6,25,131
0.1,1,9,3,90,6,28,131
0.1,1,10,0,52,5,22,131
0.1,1,10,1,53,5,22,131
0.1,1,10,2,57,5,23,131
0.1,1,10,3,87,6,27,131
0.1,2,5,0,391,9,40,131
0.1,2,5,1,3000,6,18,131
0.1,2,5,2,3000,4,15,131
0.1,2,5,3,3000,2,4,131
0.1,2,6,0,378,9,36,131
0.1,2,6,1,3000,6,15,131
0.1,2,6,2,3000,4,12,131
0.1,2,6,3,3000,2,4,131
0.1,2,7,0,142,8,29,131
0.1,2,7,1,3000,8,29,131
0.1,2,7,2,3000,7,27,131
0.1,2,7,3,3000,2,10,131
0.1,2,8,0,142,8,29,131
0.1,2,8,1,3000,8,29,131
0.1,2,8,2,3000,7,27,131
0.1,2,8,3,3000,2,10,131
0.1,2,9,0,59,7,16,131
0.1,2,9,1,746,7,17,131
0.1,2,9,2,2073,7,17,131
0.1,2,9,3,3000,4,12,131
0.1,2,10,0,51,7,14,131
0.1,2,10,1,673,7,15,131
0.1,2,10,2,1842,7,15,131
0.1,2,10,3,3000,4,10,131
0.1,3,5,0,1756,13,63,131
0.1,3,5,1,3000,6,17,131
0.1,3,5,2,3000,4,10,131
0.1,3,5,3,3000,0,0,0
0.1,3,6,0,381,10,42,131
0.1,3,6,1,3000,8,37,131
0.1,3,6,2,3000,6,19,131
0.1,3,6,3,3000,1,5,133
0.1,3,7,0,191,10,37,131
0.1,3,7,1,2758,10,39,131
0.1,3,7,2,3000,9,36,131
0.1,3,7,3,3000,4,16,131
0.1,3,8,0,107,9,33,131
0.1,3,8,1,1103,9,35,131
0.1,3,8,2,2710,9,35,131
0.1,3,8,3,3000,4,17,131
0.1,3,9,0,84,8,31,131
0.1,3,9,1,418,8,32,131
0.1,3,9,2,1685,9,33,131
0.1,3,9,3,3000,7,25,131
0.1,3,10,0,68,7,29,131
0.1,3,10,1,110,7,29,131
0.1,3,10,2,271,8,30,131
0.1,3,10,3,1775,8,36,131
0.1,4,5,0,3000,4,15,131
0.1,4,5,1,3000,1,3,131
0.1,4,5,2,3000,0,1,131
0.1,4,5,3,3000,0,0,0
0.1,4,6,0,3000,11,48,131
0.1,4,6,1,3000,9,30,131
0.1,4,6,2,3000,5,16,131
0.1,4,6,3,3000,1,4,132
0.1,4,7,0,176,10,38,131
0.1,4,7,1,3000,10,39,131
0.1,4,7,2,3000,8,29,131
0.1,4,7,3,3000,4,16,131
0.1,4,8,0,77,7,29,131
0.1,4,8,1,3000,8,34,131
0.1,4,8,2,3000,8,32,131
0.1,4,8,3,3000,4,16,131
0.1,4,9,0,75,7,29,131
0.1,4,9,1,95,7,29,131
0.1,4,9,2,173,7,29,131
0.1,4,9,3,3000,6,23,131
0.1,4,10,0,68,6,28,131
0.1,4,10,1,75,6,28,131
0.1,4,10,2,81,6,28,131
0.1,4,10,3,2079,7,33,131
0.1,5,5,0,3000,4,15,131
0.1,5,5,1,3000,1,3,131
0.1,5,5,2,3000,0,1,131
0.1,5,5,3,3000,0,0,0
0.1,5,6,0,3000,10,47,131
0.1,5,6,1,3000,8,31,131
0.1,5,6,2,3000,4,17,131
0.1,5,6,3,3000,0,3,132
0.1,5,7,0,174,9,37,131
0.1,5,7,1,3000,9,37,131
0.1,5,7,2,3000,6,22,131
0.1,5,7,3,3000,3,12,131
0.1,5,8,0,77,7,29,131
0.1,5,8,1,3000,8,34,131
0.1,5,8,2,3000,8,32,131
0.1,5,8,3,3000,4,16,131
0.1,5,9,0,75,7,29,131
0.1,5,9,1,95,7,29,131
0.1,5,9,2,174,7,29,131
0.1,5,9,3,3000,6,23,131
0.1,5,10,0,69,7,29,131
0.1,5,10,1,76,7,29,131
0.1,5,10,2,101,7,29,131
0.1,5,10,3,3000,7,31,131
0.2,1,5,0,191,7,36,131
0.2,1,5,1,3000,1,4,131
0.2,1,5,2,3000,0,0,0
0.2,1,5,3,3000,0,0,0
0.2,1,6,0,90,7,32,131
0.2,1,6,1,3000,2,12,131
0.2,1,6,2,3000,1,8,131
0.2,1,6,3,3000,0,2,132
0.2,1,7,0,80,7,30,131
0.2,1,7,1,82,7,30,131
0.2,1,7,2,85,7,30,131
0.2,1,7,3,140,7,34,131
0.2,1,8,0,68,7,26,131
0.2,1,8,1,69,7,26,131
0.2,1,8,2,72,7,27,131
0.2,1,8,3,104,7,30,131
