min_df,Topics,Words,Similar Words,No. Results,No. QGS
0.3,5,5,0,5000,0
0.3,5,5,1,5000,0
0.3,5,5,2,5000,0
0.3,5,5,3,5000,0
0.3,5,6,0,3723,5
0.3,5,6,1,4335,6
0.3,5,6,2,5000,0
0.3,5,6,3,5000,0
0.3,5,7,0,1681,5
0.3,5,7,1,2061,6
0.3,5,7,2,5000,2
