min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,5,7,2,1494,20,66
0.1,5,7,3,2302,25,74
0.1,5,8,0,549,19,60
0.1,5,8,1,1238,19,61
0.1,5,8,2,1320,19,63
0.1,5,8,3,1979,21,67
0.1,5,9,0,298,11,34
0.1,5,9,1,816,11,34
0.1,5,9,2,879,12,40
0.1,5,9,3,1163,12,41
0.1,5,10,0,208,8,24
0.1,5,10,1,358,8,24
0.1,5,10,2,410,9,26
0.1,5,10,3,-1,9,26
0.2,1,2,0,5000,0,0
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,0
0.2,1,3,1,5000,0,0
0.2,1,3,2,5000,0,0
0.2,1,3,3,5000,0,0
0.2,1,4,0,2373,24,82
0.2,1,4,1,5000,24,84
0.2,1,4,2,5000,23,75
0.2,1,4,3,5000,18,47
0.2,1,5,0,1133,24,80
0.2,1,5,1,2548,24,82
0.2,1,5,2,2681,24,82
0.2,1,5,3,4161,30,91
0.2,1,6,0,1133,24,80
0.2,1,6,1,2548,24,82
0.2,1,6,2,2681,24,82
0.2,1,6,3,4155,30,91
0.2,1,7,0,527,18,57
0.2,1,7,1,867,18,58
0.2,1,7,2,879,18,58
0.2,1,7,3,959,18,58
0.2,1,8,0,180,12,35
0.2,1,8,1,223,12,35
0.2,1,8,2,234,14,37
0.2,1,8,3,321,15,39
0.2,1,9,0,161,12,34
0.2,1,9,1,162,12,34
0.2,1,9,2,166,14,36
0.2,1,9,3,196,15,38
0.2,1,10,0,69,7,18
0.2,1,10,1,71,7,18
0.2,1,10,2,82,7,19
0.2,1,10,3,99,8,20
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
0.2,2,2,3,5000,0,0
0.2,2,3,0,5000,0,0
0.2,2,3,1,5000,0,0
0.2,2,3,2,5000,0,0
0.2,2,3,3,5000,0,0
0.2,2,4,0,4383,32,98
0.2,2,4,1,5000,0,0
0.2,2,4,2,5000,0,0
0.2,2,4,3,5000,0,0
0.2,2,5,0,1297,25,81
0.2,2,5,1,2890,25,83
0.2,2,5,2,3067,25,83
0.2,2,5,3,4654,30,91
0.2,2,6,0,739,22,66
0.2,2,6,1,1320,22,67
0.2,2,6,2,1372,22,67
0.2,2,6,3,1708,22,67
0.2,2,7,0,611,22,64
0.2,2,7,1,868,22,64
0.2,2,7,2,911,22,64
0.2,2,7,3,1178,22,64
0.2,2,8,0,176,10,24
0.2,2,8,1,277,10,25
0.2,2,8,2,296,10,26
0.2,2,8,3,406,12,28
0.2,2,9,0,117,7,18
0.2,2,9,1,162,7,19
0.2,2,9,2,170,7,20
0.2,2,9,3,238,8,21
0.2,2,10,0,52,6,13
0.2,2,10,1,94,6,15
0.2,2,10,2,121,6,15
0.2,2,10,3,183,7,16
0.2,3,2,0,5000,0,0
0.2,3,2,1,5000,0,0
0.2,3,2,2,5000,0,0
0.2,3,2,3,5000,0,0
0.2,3,3,0,5000,0,0
0.2,3,3,1,5000,0,0
0.2,3,3,2,5000,0,0
0.2,3,3,3,5000,0,0
0.2,3,4,0,5000,0,0
0.2,3,4,1,5000,0,0
0.2,3,4,2,5000,0,0
0.2,3,4,3,5000,0,0
0.2,3,5,0,5000,25,76
0.2,3,5,1,5000,0,0
0.2,3,5,2,5000,0,0
0.2,3,5,3,5000,0,0
0.2,3,6,0,738,15,51
0.2,3,6,1,1680,15,53
0.2,3,6,2,1894,16,57
0.2,3,6,3,3598,22,68
0.2,3,7,0,307,12,32
0.2,3,7,1,481,12,32
0.2,3,7,2,547,13,36
0.2,3,7,3,780,15,42
0.2,3,8,0,159,7,22
0.2,3,8,1,223,7,22
0.2,3,8,2,292,11,31
0.2,3,8,3,436,12,35
0.2,3,9,0,51,3,5
0.2,3,9,1,57,3,5
0.2,3,9,2,68,5,9
0.2,3,9,3,80,5,10
0.2,3,10,0,22,2,3
0.2,3,10,1,26,2,3
0.2,3,10,2,38,3,6
0.2,3,10,3,41,3,6
0.2,4,2,0,5000,0,0
0.2,4,2,1,5000,0,0
0.2,4,2,2,5000,0,0
0.2,4,2,3,5000,0,0
0.2,4,3,0,5000,0,0
0.2,4,3,1,5000,0,0
0.2,4,3,2,5000,0,0
0.2,4,3,3,5000,0,0
0.2,4,4,0,5000,0,0
0.2,4,4,1,5000,0,0
0.2,4,4,2,5000,0,0
0.2,4,4,3,5000,0,0
0.2,4,5,0,3742,31,93
0.2,4,5,1,5000,0,0
0.2,4,5,2,5000,0,0
0.2,4,5,3,5000,0,0
0.2,4,6,0,1770,25,77
0.2,4,6,1,5000,0,0
0.2,4,6,2,5000,0,0
0.2,4,6,3,5000,0,0
