min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,5,7,2,507,4,24
0.1,5,7,3,512,4,24
0.1,5,8,0,199,4,17
0.1,5,8,1,200,4,17
0.1,5,8,2,200,4,17
0.1,5,8,3,202,4,17
0.1,5,9,0,40,2,5
0.1,5,9,1,40,2,5
0.1,5,9,2,40,2,5
0.1,5,9,3,40,2,5
0.1,5,10,0,31,2,5
0.1,5,10,1,31,2,5
0.1,5,10,2,31,2,5
0.1,5,10,3,31,2,5
0.2,1,2,0,5000,0,0
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,23
0.2,1,3,1,5000,0,4
0.2,1,3,2,5000,0,2
0.2,1,3,3,5000,0,0
0.2,1,4,0,3905,6,34
0.2,1,4,1,5000,0,19
0.2,1,4,2,5000,0,17
0.2,1,4,3,5000,0,4
0.2,1,5,0,1677,5,30
0.2,1,5,1,2819,5,30
0.2,1,5,2,2854,5,30
0.2,1,5,3,5000,1,21
0.2,1,6,0,1677,5,30
0.2,1,6,1,2384,5,30
0.2,1,6,2,2415,5,30
0.2,1,6,3,4225,5,30
0.2,1,7,0,1677,5,30
0.2,1,7,1,2384,5,30
0.2,1,7,2,2415,5,30
0.2,1,7,3,4225,5,30
0.2,1,8,0,896,3,19
0.2,1,8,1,1165,3,19
0.2,1,8,2,1333,3,19
0.2,1,8,3,2597,3,19
0.2,1,9,0,270,2,13
0.2,1,9,1,272,2,13
0.2,1,9,2,283,2,13
0.2,1,9,3,288,2,13
0.2,1,10,0,202,2,9
0.2,1,10,1,202,2,9
0.2,1,10,2,202,2,9
0.2,1,10,3,202,2,9
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
0.2,2,2,3,5000,0,0
0.2,2,3,0,5000,0,4
0.2,2,3,1,5000,0,0
0.2,2,3,2,5000,0,0
0.2,2,3,3,5000,0,0
0.2,2,4,0,4255,6,35
0.2,2,4,1,5000,0,22
0.2,2,4,2,5000,0,19
0.2,2,4,3,5000,0,8
0.2,2,5,0,3958,6,35
0.2,2,5,1,5000,1,23
0.2,2,5,2,5000,0,21
0.2,2,5,3,5000,0,8
0.2,2,6,0,1731,6,31
0.2,2,6,1,2568,6,31
0.2,2,6,2,2755,6,31
0.2,2,6,3,4915,6,31
0.2,2,7,0,974,4,26
0.2,2,7,1,1286,4,26
0.2,2,7,2,1531,4,26
0.2,2,7,3,2954,4,26
0.2,2,8,0,974,4,26
0.2,2,8,1,1242,4,26
0.2,2,8,2,1407,4,26
0.2,2,8,3,2669,4,26
0.2,2,9,0,514,3,18
0.2,2,9,1,515,3,18
0.2,2,9,2,519,3,18
0.2,2,9,3,520,3,18
0.2,2,10,0,101,2,7
0.2,2,10,1,101,2,7
0.2,2,10,2,109,2,8
0.2,2,10,3,109,2,8
0.2,3,2,0,5000,0,0
0.2,3,2,1,5000,0,0
0.2,3,2,2,5000,0,0
0.2,3,2,3,5000,0,0
0.2,3,3,0,5000,0,0
0.2,3,3,1,5000,0,0
0.2,3,3,2,5000,0,0
0.2,3,3,3,5000,0,0
0.2,3,4,0,5000,0,8
0.2,3,4,1,5000,0,2
0.2,3,4,2,5000,0,1
0.2,3,4,3,5000,0,0
0.2,3,5,0,4070,6,35
0.2,3,5,1,5000,1,23
0.2,3,5,2,5000,0,20
0.2,3,5,3,-1,0,20
0.2,3,6,0,1731,6,31
0.2,3,6,1,2568,6,31
0.2,3,6,2,2755,6,31
0.2,3,6,3,4915,6,31
0.2,3,7,0,974,4,26
0.2,3,7,1,1286,4,26
0.2,3,7,2,1531,4,26
0.2,3,7,3,2954,4,26
0.2,3,8,0,974,4,26
0.2,3,8,1,1242,4,26
0.2,3,8,2,1407,4,26
0.2,3,8,3,2669,4,26
0.2,3,9,0,514,3,18
0.2,3,9,1,515,3,18
0.2,3,9,2,519,3,18
0.2,3,9,3,520,3,18
0.2,3,10,0,101,2,7
0.2,3,10,1,101,2,7
0.2,3,10,2,109,2,8
0.2,3,10,3,109,2,8
0.2,4,2,0,5000,0,0
0.2,4,2,1,5000,0,0
0.2,4,2,2,5000,0,0
0.2,4,2,3,5000,0,0
0.2,4,3,0,5000,0,0
0.2,4,3,1,5000,0,0
0.2,4,3,2,5000,0,0
0.2,4,3,3,5000,0,0
0.2,4,4,0,5000,0,0
0.2,4,4,1,5000,0,0
0.2,4,4,2,5000,0,0
0.2,4,4,3,5000,0,0
0.2,4,5,0,5000,0,4
0.2,4,5,1,5000,0,2
0.2,4,5,2,5000,0,2
0.2,4,5,3,5000,0,0
0.2,4,6,0,5000,1,18
0.2,4,6,1,5000,1,18
0.2,4,6,2,5000,1,18
0.2,4,6,3,5000,1,17
0.2,4,7,0,123,5,7
0.2,4,7,1,164,5,12
0.2,4,7,2,228,5,15
0.2,4,7,3,230,5,15
0.2,4,8,0,79,4,5
0.2,4,8,1,115,4,10
0.2,4,8,2,158,4,13
0.2,4,8,3,163,4,13
0.2,4,9,0,34,4,4
0.2,4,9,1,68,4,8
0.2,4,9,2,92,4,10
0.2,4,9,3,101,4,10
0.2,4,10,0,25,2,2
0.2,4,10,1,40,2,4
0.2,4,10,2,59,2,6
0.2,4,10,3,62,2,6
0.2,5,2,0,5000,0,0
0.2,5,2,1,5000,0,0
0.2,5,2,2,5000,0,0
0.2,5,2,3,5000,0,0
0.2,5,3,0,5000,0,0
0.2,5,3,1,5000,0,0
0.2,5,3,2,5000,0,0
0.2,5,3,3,5000,0,0
0.2,5,4,0,5000,0,0
0.2,5,4,1,5000,0,0
0.2,5,4,2,5000,0,0
0.2,5,4,3,5000,0,0
0.2,5,5,0,5000,0,2
0.2,5,5,1,5000,0,0
0.2,5,5,2,5000,0,0
0.2,5,5,3,5000,0,0
0.2,5,6,0,5000,0,10
0.2,5,6,1,5000,0,3
0.2,5,6,2,5000,0,3
0.2,5,6,3,5000,0,0
0.2,5,7,0,885,3,14
0.2,5,7,1,1836,3,15
0.2,5,7,2,2117,3,15
0.2,5,7,3,5000,3,15
0.2,5,8,0,360,3,5
0.2,5,8,1,785,3,10
0.2,5,8,2,929,3,11
0.2,5,8,3,2351,3,11
0.2,5,9,0,93,3,3
0.2,5,9,1,301,3,7
0.2,5,9,2,374,3,9
0.2,5,9,3,765,3,9
0.2,5,10,0,27,2,2
0.2,5,10,1,42,2,4
0.2,5,10,2,61,2,6
0.2,5,10,3,80,2,6
0.3,1,2,0,5000,0,0
0.3,1,2,1,5000,0,0
0.3,1,2,2,5000,0,0
0.3,1,2,3,-1,0,0
0.3,1,3,0,5000,0,23
0.3,1,3,1,5000,0,4
0.3,1,3,2,5000,0,2
0.3,1,3,3,5000,0,0
0.3,1,4,0,3908,6,34
0.3,1,4,1,5000,0,19
0.3,1,4,2,5000,0,17
0.3,1,4,3,5000,0,4
0.3,1,5,0,1679,5,30
0.3,1,5,1,2822,5,30
0.3,1,5,2,2857,5,30
0.3,1,5,3,5000,1,21
0.3,1,6,0,1679,5,30
0.3,1,6,1,2387,5,30
0.3,1,6,2,2418,5,30
0.3,1,6,3,4228,5,30
0.3,1,7,0,1679,5,30
0.3,1,7,1,2387,5,30
0.3,1,7,2,2418,5,30
0.3,1,7,3,4228,5,30
0.3,1,8,0,898,3,19
0.3,1,8,1,1167,3,19
0.3,1,8,2,1335,3,19
0.3,1,8,3,2599,3,19
0.3,1,9,0,272,2,13
0.3,1,9,1,274,2,13
0.3,1,9,2,285,2,13
0.3,1,9,3,290,2,13
0.3,1,10,0,203,2,9
0.3,1,10,1,203,2,9
0.3,1,10,2,203,2,9
0.3,1,10,3,203,2,9
0.3,2,2,0,5000,0,0
0.3,2,2,1,5000,0,0
0.3,2,2,2,5000,0,0
0.3,2,2,3,5000,0,0
0.3,2,3,0,5000,0,4
0.3,2,3,1,5000,0,0
0.3,2,3,2,5000,0,0
0.3,2,3,3,5000,0,0
0.3,2,4,0,4258,6,35
0.3,2,4,1,5000,0,22
0.3,2,4,2,5000,0,19
0.3,2,4,3,5000,0,8
0.3,2,5,0,3961,6,35
0.3,2,5,1,5000,1,23
0.3,2,5,2,5000,0,21
0.3,2,5,3,5000,0,8
0.3,2,6,0,1733,6,31
0.3,2,6,1,2571,6,31
0.3,2,6,2,2758,6,31
0.3,2,6,3,4918,6,31
0.3,2,7,0,976,4,26
0.3,2,7,1,1288,4,26
0.3,2,7,2,1533,4,26
0.3,2,7,3,2956,4,26
0.3,2,8,0,976,4,26
0.3,2,8,1,1244,4,26
0.3,2,8,2,1409,4,26
0.3,2,8,3,2671,4,26
0.3,2,9,0,515,3,18
0.3,2,9,1,516,3,18
0.3,2,9,2,520,3,18
0.3,2,9,3,521,3,18
0.3,2,10,0,102,2,7
0.3,2,10,1,102,2,7
0.3,2,10,2,110,2,8
0.3,2,10,3,110,2,8
0.3,3,2,0,5000,0,0
0.3,3,2,1,5000,0,0
0.3,3,2,2,5000,0,0
0.3,3,2,3,5000,0,0
0.3,3,3,0,5000,0,0
0.3,3,3,1,5000,0,0
0.3,3,3,2,5000,0,0
0.3,3,3,3,5000,0,0
0.3,3,4,0,5000,0,8
0.3,3,4,1,5000,0,2
0.3,3,4,2,5000,0,1
0.3,3,4,3,5000,0,0
0.3,3,5,0,4073,6,35
0.3,3,5,1,5000,1,23
0.3,3,5,2,5000,0,20
0.3,3,5,3,5000,0,8
0.3,3,6,0,1733,6,31
0.3,3,6,1,2571,6,31
0.3,3,6,2,2758,6,31
0.3,3,6,3,4918,6,31
0.3,3,7,0,976,4,26
0.3,3,7,1,1288,4,26
0.3,3,7,2,1533,4,26
0.3,3,7,3,2956,4,26
0.3,3,8,0,976,4,26
0.3,3,8,1,1244,4,26
0.3,3,8,2,1409,4,26
0.3,3,8,3,2671,4,26
0.3,3,9,0,515,3,18
0.3,3,9,1,516,3,18
0.3,3,9,2,520,3,18
0.3,3,9,3,521,3,18
0.3,3,10,0,102,2,7
0.3,3,10,1,102,2,7
0.3,3,10,2,110,2,8
0.3,3,10,3,110,2,8
0.3,4,2,0,5000,0,0
0.3,4,2,1,5000,0,0
0.3,4,2,2,5000,0,0
0.3,4,2,3,5000,0,0
0.3,4,3,0,5000,0,0
0.3,4,3,1,5000,0,0
0.3,4,3,2,5000,0,0
0.3,4,3,3,5000,0,0
0.3,4,4,0,5000,0,0
0.3,4,4,1,5000,0,0
0.3,4,4,2,5000,0,0
0.3,4,4,3,5000,0,0
0.3,4,5,0,5000,0,4
0.3,4,5,1,5000,0,2
0.3,4,5,2,5000,0,2
0.3,4,5,3,5000,0,0
0.3,4,6,0,5000,1,18
0.3,4,6,1,5000,1,18
0.3,4,6,2,5000,1,18
0.3,4,6,3,5000,1,17
0.3,4,7,0,124,5,7
0.3,4,7,1,165,5,12
0.3,4,7,2,230,5,15
0.3,4,7,3,232,5,15
0.3,4,8,0,80,4,5
0.3,4,8,1,116,4,10
0.3,4,8,2,160,4,13
0.3,4,8,3,165,4,13
0.3,4,9,0,34,4,4
0.3,4,9,1,68,4,8
0.3,4,9,2,92,4,10
0.3,4,9,3,101,4,10
0.3,4,10,0,25,2,2
0.3,4,10,1,40,2,4
0.3,4,10,2,59,2,6
0.3,4,10,3,62,2,6
0.3,5,2,0,5000,0,0
0.3,5,2,1,5000,0,0
0.3,5,2,2,5000,0,0
0.3,5,2,3,5000,0,0
