title
A Framework for Identifying Software Project Risks
Characterization of risky projects based on project managers evaluation
Risk Factors in Enterprise Wide Information Management Systems Projects
An empirical approach to characterizing risky software projects based on logistic regression analysis
Project risk differences between virtual and co-located teams
Modelling and evaluating software project risks with quantitative analysis techniques in planning software development
