min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,2000,2,19,41
0.1,1,5,1,2000,2,7,39
0.1,1,5,2,2000,1,1,39
0.1,1,5,3,2000,1,1,39
0.1,1,6,0,1483,8,30,40
0.1,1,6,1,2000,4,19,40
0.1,1,6,2,2000,2,11,40
0.1,1,6,3,2000,2,11,40
0.1,1,7,0,364,6,23,40
0.1,1,7,1,805,7,24,40
0.1,1,7,2,2000,8,25,40
0.1,1,7,3,2000,3,14,40
0.1,1,8,0,142,6,18,40
0.1,1,8,1,157,7,19,40
0.1,1,8,2,178,7,19,40
0.1,1,8,3,298,8,21,40
0.1,1,9,0,142,6,18,40
0.1,1,9,1,157,7,19,40
0.1,1,9,2,178,7,19,40
0.1,1,9,3,298,8,21,40
0.1,1,10,0,88,4,11,40
0.1,1,10,1,117,4,12,40
0.1,1,10,2,136,4,13,40
0.1,1,10,3,298,8,21,40
0.1,2,5,0,2000,2,19,41
0.1,2,5,1,2000,1,4,39
0.1,2,5,2,2000,0,0,0
0.1,2,5,3,2000,0,0,0
0.1,2,6,0,996,8,27,40
0.1,2,6,1,2000,2,11,40
0.1,2,6,2,2000,1,1,39
0.1,2,6,3,2000,0,0,0
0.1,2,7,0,423,8,23,40
0.1,2,7,1,423,8,23,40
0.1,2,7,2,424,8,23,40
0.1,2,7,3,424,8,23,40
0.1,2,8,0,212,4,13,40
0.1,2,8,1,212,4,13,40
0.1,2,8,2,219,4,13,40
0.1,2,8,3,237,4,13,40
0.1,2,9,0,39,1,3,39
0.1,2,9,1,133,3,10,39
0.1,2,9,2,153,3,10,39
0.1,2,9,3,169,3,10,39
0.1,2,10,0,29,1,2,39
0.1,2,10,1,101,2,7,39
0.1,2,10,2,121,2,8,39
0.1,2,10,3,169,3,10,39
0.1,3,5,0,2000,2,18,41
0.1,3,5,1,2000,2,8,39
0.1,3,5,2,2000,1,1,39
0.1,3,5,3,2000,1,1,39
0.1,3,6,0,1040,8,27,40
0.1,3,6,1,1268,8,27,40
0.1,3,6,2,1861,8,27,40
0.1,3,6,3,2000,6,24,40
0.1,3,7,0,635,8,23,40
0.1,3,7,1,998,8,24,40
0.1,3,7,2,1578,8,24,40
0.1,3,7,3,1834,8,24,40
0.1,3,8,0,264,7,15,40
0.1,3,8,1,334,7,18,40
0.1,3,8,2,370,7,18,40
0.1,3,8,3,370,7,18,40
0.1,3,9,0,156,5,9,39
0.1,3,9,1,296,7,17,39
0.1,3,9,2,340,7,17,39
0.1,3,9,3,341,7,17,39
0.1,3,10,0,76,2,3,39
0.1,3,10,1,277,6,14,39
0.1,3,10,2,336,7,17,39
0.1,3,10,3,341,7,17,39
0.1,4,5,0,2000,2,18,41
0.1,4,5,1,2000,2,8,39
0.1,4,5,2,2000,1,1,39
0.1,4,5,3,2000,1,1,39
0.1,4,6,0,1040,8,27,40
0.1,4,6,1,1268,8,27,40
0.1,4,6,2,1861,8,27,40
0.1,4,6,3,2000,6,24,40
0.1,4,7,0,635,8,23,40
0.1,4,7,1,998,8,24,40
0.1,4,7,2,1578,8,24,40
0.1,4,7,3,-1,8,24,40
0.1,4,8,0,264,7,15,40
0.1,4,8,1,334,7,18,40
0.1,4,8,2,370,7,18,40
0.1,4,8,3,370,7,18,40
0.1,4,9,0,156,5,9,39
0.1,4,9,1,296,7,17,39
0.1,4,9,2,340,7,17,39
0.1,4,9,3,341,7,17,39
0.1,4,10,0,76,2,3,39
0.1,4,10,1,277,6,14,39
0.1,4,10,2,336,7,17,39
0.1,4,10,3,341,7,17,39
0.1,5,5,0,2000,2,18,41
0.1,5,5,1,2000,2,8,39
0.1,5,5,2,2000,1,1,39
0.1,5,5,3,2000,1,1,39
0.1,5,6,0,2000,6,30,40
0.1,5,6,1,2000,2,17,40
0.1,5,6,2,2000,2,10,39
0.1,5,6,3,2000,2,9,39
0.1,5,7,0,563,7,14,39
0.1,5,7,1,1834,7,22,39
